"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",819,554,1209
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1677,1330,2113
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1319,968,1795
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1720,1388,2130
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1057,767,1454
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1440,1121,1849
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",284,143,563
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",208,88,487
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1216,922,1602
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",748,503,1111
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1489,1164,1904
"186","20001, Northwest Washington, Washington","12","8000 Poplar Hill Drive, Clinton","1/1/2018 - 1/31/2018, Every day, Daily Average",1917,1503,2444
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1770,1223,2560
